timestamp lat lon gps_qual num_sats horizontal_dil
22:15:27 45.530697833333335 -73.613349 None None None
22:15:28 45.530697833333335 -73.61334883333333 None None None
22:15:29 45.53069766666667 -73.61334883333333 5 12 0.87
22:15:30 45.53069766666667 -73.61334883333333 5 12 0.87
22:15:31 45.5306975 -73.61334916666667 5 12 0.87
22:15:32 45.53069766666667 -73.61334916666667 5 12 0.87
22:15:33 45.5306975 -73.61334883333333 5 12 0.87
22:15:34 45.5306975 -73.61334883333333 5 12 0.87
22:15:35 45.53070833333334 -73.613354 5 12 0.78
22:15:36 45.53070833333334 -73.61335333333334 5 12 0.78
22:15:37 45.53070833333334 -73.613354 5 12 0.78
22:15:38 45.53070866666667 -73.613355 5 12 0.85
22:15:39 45.5307085 -73.61335366666667 5 12 0.93
22:15:40 45.53070866666667 -73.61335383333333 5 12 0.85
22:15:41 45.53070866666667 -73.61335366666667 5 12 0.85
22:15:42 45.53070866666667 -73.6133535 5 12 0.87
22:15:43 45.53070866666667 -73.61335333333334 5 12 0.87
22:15:44 45.53070866666667 -73.61335316666667 5 12 0.87
22:15:45 45.53070866666667 -73.61335283333334 5 12 0.87
22:15:46 45.53070866666667 -73.61335266666667 5 12 0.87
22:15:47 45.53070866666667 -73.6133525 5 12 0.93
22:15:48 45.53070866666667 -73.6133525 5 12 0.87
22:15:49 45.53070866666667 -73.61335233333334 5 12 0.78
22:15:50 45.53070866666667 -73.61335216666667 5 12 0.87
22:15:51 45.53070866666667 -73.61335183333334 5 12 0.87
22:15:52 45.53070866666667 -73.61335183333334 5 12 0.87
22:15:53 45.53070866666667 -73.61335166666667 5 12 0.93
22:15:54 45.53070866666667 -73.6133515 5 12 0.93
22:15:55 45.53070833333334 -73.613351 5 12 0.93
22:15:56 45.53070816666666 -73.613351 5 12 0.93
22:15:57 45.53070866666667 -73.6133515 5 12 0.93
22:15:58 45.53070816666666 -73.613351 5 12 0.78
22:15:59 45.530708 -73.613351 5 12 0.78
22:16:00 45.530708 -73.61335116666666 5 12 0.77
22:16:01 45.53070816666666 -73.61335133333333 5 12 0.77
22:16:02 45.530708 -73.61335116666666 5 12 0.85
22:16:03 45.530708 -73.61335116666666 5 12 0.77
22:16:04 45.530708 -73.61335116666666 5 12 0.77
22:16:05 45.53070783333333 -73.61335116666666 5 12 0.77
22:16:06 45.53070783333333 -73.61335116666666 5 12 0.77
22:16:07 45.53070783333333 -73.61335116666666 5 12 0.77
22:16:08 45.530708 -73.61335133333333 5 12 0.77
22:16:09 45.530708 -73.6133515 5 12 0.77
22:16:10 45.53070783333333 -73.6133515 5 12 0.77
22:16:11 45.53070783333333 -73.61335166666667 5 12 0.77
22:16:12 45.53070783333333 -73.61335166666667 5 12 0.77
22:16:13 45.53070783333333 -73.61335166666667 5 12 0.77
22:16:14 45.53070783333333 -73.61335183333334 5 12 0.85
22:16:15 45.53070783333333 -73.61335183333334 5 12 0.77
22:16:16 45.530707666666665 -73.61335166666667 5 12 0.77
22:16:17 45.530707666666665 -73.61335166666667 5 12 0.77
22:16:18 45.530707666666665 -73.61335183333334 5 12 0.85
22:16:19 45.53070783333333 -73.61335183333334 5 12 0.77
22:16:20 45.530707666666665 -73.61335183333334 5 12 0.77
22:16:21 45.530707666666665 -73.61335166666667 5 12 0.85
22:16:22 45.5307075 -73.61335166666667 5 12 0.77
22:16:23 45.530707666666665 -73.613352 5 12 0.85
22:16:24 45.530707666666665 -73.61335183333334 5 12 0.85
22:16:25 45.530707666666665 -73.61335183333334 5 12 0.77
22:16:26 45.530707666666665 -73.61335183333334 5 12 0.85
22:16:27 45.530707666666665 -73.61335166666667 5 12 0.85
22:16:28 45.5307075 -73.61335166666667 5 12 0.85
22:16:29 45.530707666666665 -73.61335183333334 5 12 0.77
22:16:30 45.530707666666665 -73.61335183333334 5 12 0.77
22:16:31 45.5307075 -73.61335183333334 5 12 0.77
22:16:32 45.5307075 -73.61335166666667 5 12 0.77
22:16:33 45.5307075 -73.61335166666667 5 12 0.77
22:16:34 45.5307075 -73.61335166666667 5 12 0.77
22:16:35 45.5307075 -73.61335183333334 5 12 0.77
22:16:36 45.530707666666665 -73.613352 5 12 0.77
22:16:37 45.530707666666665 -73.613352 5 12 0.77
22:16:38 45.530707666666665 -73.613352 5 12 0.85
22:16:39 45.5307075 -73.61335183333334 5 12 0.77
22:16:40 45.53070733333333 -73.61335166666667 5 12 0.77
22:16:41 45.53070733333333 -73.61335183333334 5 12 0.77
22:16:42 45.5307075 -73.613352 5 12 0.77
22:16:43 45.5307075 -73.61335183333334 5 12 0.77
22:16:44 45.5307075 -73.613352 5 12 0.77
22:16:45 45.5307075 -73.613352 5 12 0.85
22:16:46 45.5307075 -73.613352 5 12 0.77
22:16:47 45.5307075 -73.613352 5 12 0.77
22:16:48 45.530707666666665 -73.61335216666667 5 12 0.77
22:16:49 45.530707666666665 -73.61335216666667 5 12 0.77
22:16:50 45.530708 -73.61335266666667 5 12 0.77
22:16:51 45.530708 -73.61335266666667 5 12 0.77
22:16:52 45.530708 -73.61335266666667 5 12 0.77
22:16:53 45.530708 -73.61335283333334 5 12 0.77
22:16:54 45.53070783333333 -73.61335266666667 5 12 0.77
22:16:55 45.53070733333333 -73.61335233333334 5 12 0.77
22:16:56 45.53070733333333 -73.61335233333334 5 12 0.77
22:16:57 45.53070733333333 -73.61335233333334 5 12 0.77
22:16:58 45.53070733333333 -73.6133525 5 12 0.77
22:16:59 45.5307075 -73.61335283333334 5 12 0.77
22:17:00 45.5307075 -73.613353 5 12 0.85
22:17:01 45.5307075 -73.61335283333334 5 12 0.77
22:17:02 45.5307075 -73.61335283333334 5 12 0.85
22:17:03 45.53070733333333 -73.61335283333334 5 12 0.77
22:17:04 45.53070733333333 -73.61335283333334 5 12 0.85
22:17:05 45.53070733333333 -73.613353 5 12 0.77
22:17:06 45.53070733333333 -73.613353 5 12 0.85
22:17:07 45.53070733333333 -73.61335316666667 5 12 0.77
22:17:08 45.5307075 -73.61335333333334 5 12 0.85
22:17:09 45.5307075 -73.61335333333334 5 12 0.77
22:17:10 45.5307075 -73.6133535 5 12 0.77
22:17:11 45.5307075 -73.61335366666667 5 12 0.77
22:17:12 45.53070733333333 -73.61335383333333 5 12 0.77
22:17:13 45.53070733333333 -73.61335383333333 5 12 0.77
22:17:14 45.5307075 -73.613354 5 12 0.77
22:17:15 45.5307075 -73.61335416666667 5 12 0.77
22:17:16 45.5307075 -73.61335433333333 5 12 0.77
22:17:17 45.5307075 -73.61335433333333 5 12 0.77
22:17:18 45.5307075 -73.61335466666667 5 12 0.77
22:17:19 45.5307075 -73.61335466666667 5 12 0.77
22:17:20 45.53070733333333 -73.61335466666667 5 12 0.77
22:17:21 45.530707166666666 -73.61335483333333 5 12 0.77
22:17:22 45.530707166666666 -73.61335483333333 5 12 0.77
22:17:23 45.530707166666666 -73.613355 5 12 0.77
22:17:24 45.53070733333333 -73.61335533333333 5 12 0.77
22:17:25 45.53070733333333 -73.6133555 5 12 0.77
22:17:26 45.530707166666666 -73.6133555 5 12 0.77
22:17:27 45.530707166666666 -73.61335566666666 5 12 0.77
22:17:28 45.530707166666666 -73.61335583333333 5 12 0.77
22:17:29 45.53070683333333 -73.61335583333333 5 12 0.77
22:17:30 45.530707166666666 -73.613356 5 12 0.77
22:17:31 45.53070733333333 -73.61335633333333 5 12 0.77
22:17:32 45.530707166666666 -73.61335633333333 5 12 0.77
22:17:33 45.530707166666666 -73.61335633333333 5 12 0.77
22:17:34 45.53070733333333 -73.6133565 5 12 0.77
22:17:35 45.530707166666666 -73.61335666666666 5 12 0.77
22:17:36 45.530707166666666 -73.61335666666666 5 12 0.77
22:17:37 45.53070733333333 -73.613357 5 12 0.77
22:17:38 45.5307075 -73.61335733333334 5 12 0.77
22:17:39 45.5307075 -73.61335733333334 5 12 0.85
22:17:40 45.53070733333333 -73.61335733333334 5 12 0.77
22:17:41 45.530707166666666 -73.6133575 5 12 0.77
22:17:42 45.530707 -73.61335733333334 5 12 0.77
22:17:43 45.530707166666666 -73.61335766666667 5 12 0.85
22:17:44 45.53070733333333 -73.613358 5 12 0.85
22:17:45 45.5307075 -73.61335833333334 5 12 0.85
22:17:46 45.5307075 -73.6133585 5 12 0.85
22:17:47 45.5307075 -73.61335883333334 5 12 0.85
22:17:48 45.530707166666666 -73.61335866666667 5 12 0.85
22:17:49 45.530707166666666 -73.61335866666667 5 12 0.85
22:17:50 45.530707166666666 -73.613359 5 12 0.85
22:17:51 45.53070733333333 -73.61335933333334 5 12 0.85
22:17:52 45.53070733333333 -73.6133595 5 12 0.85
22:17:53 45.53070733333333 -73.6133595 5 12 0.77
22:17:54 45.530707 -73.6133595 5 12 0.77
22:17:55 45.530707166666666 -73.61335983333333 5 12 0.77
22:17:56 45.530707166666666 -73.61336 5 12 0.77
22:17:57 45.53070733333333 -73.61336033333333 5 12 0.77
22:17:58 45.53070733333333 -73.6133605 5 12 0.77
22:17:59 45.53070733333333 -73.61336066666667 5 12 0.77
22:18:00 45.530707166666666 -73.61336066666667 5 12 0.77
22:18:01 45.530707166666666 -73.613361 5 12 0.77
22:18:02 45.530707 -73.613361 5 12 0.77
22:18:03 45.530707166666666 -73.61336133333333 5 12 0.77
22:18:04 45.530707166666666 -73.6133615 5 12 0.77
22:18:05 45.530707166666666 -73.61336166666666 5 12 0.77
22:18:06 45.530707166666666 -73.61336183333333 5 12 0.77
22:18:07 45.530707166666666 -73.613362 5 12 0.77
22:18:08 45.530707 -73.61336216666666 5 12 0.77
22:18:09 45.53070683333333 -73.61336233333333 5 12 0.77
22:18:10 45.530707 -73.61336333333334 5 12 0.77
22:18:11 45.530707 -73.61336283333333 5 12 0.77
22:18:12 45.530707 -73.613363 5 12 0.77
22:18:13 45.530707166666666 -73.61336316666667 5 12 0.77
22:18:14 45.530707166666666 -73.61336333333334 5 12 0.77
22:18:15 45.530707166666666 -73.6133635 5 12 0.77
22:18:16 45.530707166666666 -73.61336366666667 5 12 0.77
22:18:17 45.530707166666666 -73.61336383333334 5 12 0.77
22:18:18 45.530707166666666 -73.61336383333334 5 12 0.77
22:18:19 45.530707166666666 -73.613364 5 12 0.77
22:18:20 45.530707166666666 -73.61336416666667 5 12 0.77
22:18:21 45.53070683333333 -73.613364 5 12 0.77
22:18:22 45.53070683333333 -73.61336416666667 5 12 0.77
22:18:23 45.530707 -73.61336466666667 5 12 0.77
22:18:24 45.530707166666666 -73.61336483333334 5 12 0.77
22:18:25 45.530707 -73.61336466666667 5 12 0.77
22:18:26 45.53070683333333 -73.61336466666667 5 12 0.77
22:18:27 45.53070683333333 -73.61336483333334 5 12 0.77
22:18:28 45.53070666666667 -73.61336483333334 5 12 0.77
22:18:29 45.53070666666667 -73.613365 5 12 0.85
22:18:30 45.53070683333333 -73.61336533333333 5 12 0.85
22:18:31 45.530707 -73.6133655 5 12 0.85
22:18:32 45.53070683333333 -73.6133655 5 12 0.77
22:18:33 45.53070666666667 -73.61336533333333 5 12 0.77
22:18:34 45.5307065 -73.61336533333333 5 12 0.77
22:18:35 45.5307065 -73.6133655 5 12 0.77
22:18:36 45.53070666666667 -73.61336583333333 5 12 0.77
22:18:37 45.53070683333333 -73.613366 5 12 0.77
22:18:38 45.53070683333333 -73.613366 5 12 0.77
22:18:39 45.53070666666667 -73.61336583333333 5 12 0.85
22:18:40 45.53070666666667 -73.613366 5 12 0.85
22:18:41 45.53070666666667 -73.613366 5 12 0.85
22:18:42 45.5307065 -73.613366 5 12 0.85
22:18:43 45.53070666666667 -73.61336616666667 5 12 0.85
22:18:44 45.53070666666667 -73.61336633333333 5 12 0.85
22:18:45 45.53070666666667 -73.6133665 5 12 0.77
22:18:46 45.53070683333333 -73.61336666666666 5 12 0.77
22:18:47 45.53070683333333 -73.61336683333333 5 12 0.77
22:18:48 45.53070683333333 -73.61336683333333 5 12 0.77
22:18:49 45.53070683333333 -73.61336683333333 5 12 0.77
22:18:50 45.530706333333335 -73.61336633333333 5 12 0.77
22:18:51 45.5307065 -73.61336666666666 5 12 0.77
22:18:52 45.5307065 -73.61336683333333 5 12 0.86
22:18:53 45.5307065 -73.61336683333333 5 12 0.77
22:18:54 45.530706333333335 -73.61336683333333 5 12 0.77
22:18:55 45.530706333333335 -73.61336683333333 5 12 0.77
22:18:56 45.5307065 -73.61336716666666 5 12 0.84
22:18:57 45.53070666666667 -73.6133675 5 12 0.84
22:18:58 45.53070666666667 -73.6133675 5 12 0.84
22:18:59 45.5307065 -73.6133675 5 12 0.84
22:19:00 45.530706333333335 -73.61336733333333 5 12 0.77
22:19:01 45.530706333333335 -73.6133675 5 12 0.84
22:19:02 45.530706333333335 -73.6133675 5 12 0.84
22:19:03 45.5307065 -73.61336783333333 5 12 0.77
22:19:04 45.5307065 -73.61336783333333 5 12 0.77
22:19:05 45.5307065 -73.61336783333333 5 12 0.84
22:19:06 45.5307065 -73.613368 5 12 0.77
22:19:07 45.5307065 -73.61336833333333 5 12 0.77
22:19:08 45.53070666666667 -73.6133685 5 12 0.77
22:19:09 45.5307065 -73.6133685 5 12 0.84
22:19:10 45.5307065 -73.6133685 5 12 0.77
22:19:11 45.5307065 -73.6133685 5 12 0.85
22:19:12 45.530706333333335 -73.6133685 5 12 0.77
22:19:13 45.530706333333335 -73.61336866666667 5 12 0.77
22:19:14 45.53070616666667 -73.61336866666667 5 12 0.77
22:19:15 45.530706333333335 -73.613369 5 12 0.77
22:19:16 45.5307065 -73.61336933333334 5 12 0.84
22:19:17 45.53070666666667 -73.61336933333334 5 12 0.77
22:19:18 45.53070666666667 -73.6133695 5 12 0.84
22:19:19 45.53070616666667 -73.61336933333334 5 12 0.84
22:19:20 45.530706333333335 -73.61336966666667 5 12 0.89
22:19:21 45.5307065 -73.61337 5 12 0.77
22:19:22 45.53070666666667 -73.61337016666667 5 12 0.84
22:19:23 45.5307065 -73.61337016666667 5 12 0.89
22:19:24 45.53070666666667 -73.61337033333334 5 12 0.77
22:19:25 45.53070666666667 -73.6133705 5 12 0.77
22:19:26 45.53070666666667 -73.61337066666667 5 12 0.77
22:19:27 45.53070683333333 -73.61337083333333 5 12 0.77
22:19:28 45.53070683333333 -73.61337083333333 5 12 0.77
22:19:29 45.53070683333333 -73.613371 5 12 0.77
22:19:30 45.53070683333333 -73.613371 5 12 0.77
22:19:31 45.53070666666667 -73.61337083333333 5 12 0.85
22:19:32 45.5307065 -73.61337083333333 5 12 0.85
22:19:33 45.530706333333335 -73.61337083333333 5 12 0.85
22:19:34 45.5307065 -73.613371 5 12 0.99
22:19:35 45.5307065 -73.61337116666667 5 12 0.99
22:19:36 45.53070666666667 -73.61337133333333 5 12 0.83
22:19:37 45.53070666666667 -73.6133715 5 12 0.77
22:19:38 45.530706333333335 -73.61337133333333 5 12 0.77
22:19:39 45.530706333333335 -73.6133715 5 12 0.77
22:19:40 45.530706333333335 -73.61337166666667 5 12 0.84
22:19:41 45.53070666666667 -73.613372 5 12 0.77
22:19:42 45.53070683333333 -73.61337216666666 5 12 0.77
22:19:43 45.53070683333333 -73.61337216666666 5 12 0.77
22:19:44 45.53070666666667 -73.61337216666666 5 12 0.77
22:19:45 45.5307065 -73.61337216666666 5 12 0.84
22:19:46 45.53070666666667 -73.61337233333333 5 12 0.84
22:19:47 45.53070666666667 -73.61337266666666 5 12 0.96
22:19:48 45.53070683333333 -73.61337283333333 5 12 0.96
22:19:49 45.53070683333333 -73.613373 5 12 0.96
22:19:50 45.53070666666667 -73.613373 5 12 0.85
22:19:51 45.53070683333333 -73.61337316666666 5 12 0.85
22:19:52 45.53070683333333 -73.61337333333333 5 12 0.85
22:19:53 45.53070683333333 -73.61337333333333 5 12 0.85
22:19:54 45.530707 -73.61337366666666 5 12 0.84
22:19:55 45.530707 -73.61337383333333 5 12 0.84
22:19:56 45.530707 -73.613374 5 12 0.84
22:19:57 45.530707 -73.613374 5 12 0.84
22:19:58 45.53070683333333 -73.613374 5 12 0.84
22:19:59 45.53070683333333 -73.613374 5 12 0.78
22:20:00 45.530707 -73.61337416666667 5 12 0.78
22:20:01 45.530707 -73.61337433333334 5 12 0.78
22:20:02 45.530707166666666 -73.61337466666667 5 12 0.78
22:20:03 45.530707 -73.61337466666667 5 12 0.84
22:20:04 45.530707166666666 -73.61337483333334 5 12 0.84
22:20:05 45.530707166666666 -73.61337483333334 5 12 0.84
22:20:06 45.530707166666666 -73.613375 5 12 0.84
22:20:07 45.53070683333333 -73.61337466666667 5 12 0.84
22:20:08 45.53070666666667 -73.61337483333334 5 12 0.78
22:20:09 45.53070666666667 -73.61337483333334 5 12 0.85
22:20:10 45.53070683333333 -73.61337516666667 5 12 0.85
22:20:11 45.530707 -73.6133755 5 12 0.78
22:20:12 45.530707166666666 -73.61337566666667 5 12 0.84
22:20:13 45.530707 -73.6133755 5 12 0.78
22:20:14 45.530707 -73.61337566666667 5 12 0.78
22:20:15 45.530707 -73.61337583333334 5 12 0.78
22:20:16 45.530707166666666 -73.61337583333334 5 12 0.78
22:20:17 45.53070733333333 -73.613376 5 12 0.84
22:20:18 45.530707 -73.61337583333334 5 12 0.78
22:20:19 45.530707 -73.613376 5 12 0.78
22:20:20 45.530707 -73.61337616666667 5 12 0.78
22:20:21 45.530707166666666 -73.61337633333333 5 12 0.78
22:20:22 45.530707166666666 -73.61337633333333 5 12 0.84
22:20:23 45.530707166666666 -73.61337633333333 5 12 0.78
22:20:24 45.530707166666666 -73.61337633333333 5 12 0.78
22:20:25 45.53070683333333 -73.61337633333333 5 12 0.78
22:20:26 45.53070683333333 -73.61337616666667 5 12 0.84
22:20:27 45.530707166666666 -73.61337666666667 5 12 0.78
22:20:28 45.530707166666666 -73.61337683333333 5 12 0.78
22:20:29 45.530707166666666 -73.61337683333333 5 12 0.78
22:20:30 45.530707166666666 -73.613377 5 12 0.78
22:20:31 45.530707166666666 -73.61337716666667 5 12 0.84
22:20:32 45.530707166666666 -73.61337716666667 5 12 0.84
22:20:33 45.530707166666666 -73.61337716666667 5 12 0.84
22:20:34 45.530707166666666 -73.61337733333333 5 12 0.84
22:20:35 45.53070733333333 -73.6133775 5 12 0.84
22:20:36 45.53070733333333 -73.6133775 5 12 0.78
22:20:37 45.53070733333333 -73.61337766666666 5 12 0.78
22:20:38 45.530707 -73.6133775 5 12 0.78
22:20:39 45.530707 -73.61337766666666 5 12 0.78
22:20:40 45.530707166666666 -73.61337783333333 5 12 0.84
22:20:41 45.53070683333333 -73.61337766666666 5 12 0.84
22:20:42 45.53070666666667 -73.61337766666666 5 12 0.84
22:20:43 45.53070666666667 -73.61337766666666 5 12 0.84
22:20:44 45.53070666666667 -73.61337783333333 5 12 0.84
22:20:45 45.53070683333333 -73.613378 5 12 0.78
22:20:46 45.530707 -73.61337833333333 5 12 0.78
22:20:47 45.530707 -73.6133785 5 12 0.78
22:20:48 45.530707 -73.61337866666666 5 12 0.78
22:20:49 45.530707166666666 -73.613379 5 12 0.83
22:20:50 45.530707666666665 -73.61337833333333 5 12 0.78
22:20:51 45.530707166666666 -73.61337916666666 5 12 0.78
22:20:52 45.530707 -73.61337916666666 5 12 0.78
22:20:53 45.530707 -73.61337933333333 5 12 0.78
22:20:54 45.530707 -73.6133795 5 12 0.78
22:20:55 45.530707 -73.6133795 5 12 0.78
22:20:56 45.530707 -73.61337966666666 5 12 0.78
22:20:57 45.530707 -73.61337983333334 5 12 0.78
22:20:58 45.530707 -73.61338 5 12 0.78
22:20:59 45.530707 -73.61338 5 12 0.78
22:21:00 45.53070683333333 -73.61338 5 12 0.78
22:21:01 45.53070683333333 -73.61338016666667 5 12 0.78
22:21:02 45.53070683333333 -73.61338016666667 5 12 0.78
22:21:03 45.530707 -73.61338033333334 5 12 0.78
22:21:04 45.530707 -73.61338033333334 5 12 0.78
22:21:05 45.530707 -73.61338066666667 5 12 0.78
22:21:06 45.530707 -73.61338066666667 5 12 0.78
22:21:07 45.53070683333333 -73.6133805 5 12 0.84
22:21:08 45.53070666666667 -73.6133805 5 12 0.84
22:21:09 45.53070666666667 -73.61338066666667 5 12 0.84
22:21:10 45.53070683333333 -73.61338083333334 5 12 0.78
22:21:11 45.530707 -73.613381 5 12 0.78
22:21:12 45.530707 -73.613381 5 12 0.78
22:21:13 45.53070683333333 -73.613381 5 12 0.78
22:21:14 45.53070683333333 -73.613381 5 12 0.78
22:21:15 45.53070683333333 -73.61338116666667 5 12 0.78
22:21:16 45.53070683333333 -73.61338116666667 5 12 0.78
22:21:17 45.530707 -73.61338116666667 5 12 0.78
22:21:18 45.53070666666667 -73.61338116666667 5 12 0.78
22:21:19 45.53070666666667 -73.61338116666667 5 12 0.78
22:21:20 45.53070683333333 -73.61338133333334 5 12 0.78
22:21:21 45.530707 -73.61338166666667 5 12 0.78
22:21:22 45.53070683333333 -73.61338166666667 5 12 0.84
22:21:23 45.53070683333333 -73.61338166666667 5 12 0.78
22:21:24 45.53070683333333 -73.61338166666667 5 12 0.78
22:21:25 45.530708833333335 -73.6133815 5 12 0.78
22:21:26 45.530707166666666 -73.61338166666667 5 12 0.78
22:21:27 45.530707166666666 -73.6133815 5 12 0.84
22:21:28 45.530707 -73.6133815 5 12 0.78
22:21:29 45.530707 -73.6133815 5 12 0.78
22:21:30 45.530707 -73.61338166666667 5 12 0.78
22:21:31 45.530707166666666 -73.61338166666667 5 12 0.78
22:21:32 45.530707 -73.6133815 5 12 0.84
22:21:33 45.530707 -73.6133815 5 12 0.78
22:21:34 45.530707 -73.6133815 5 12 0.78
22:21:35 45.530707 -73.6133815 5 12 0.78
22:21:36 45.530707 -73.6133815 5 12 0.78
22:21:37 45.53070666666667 -73.61338133333334 5 12 0.78
22:21:38 45.53070683333333 -73.6133815 5 12 0.84
22:21:39 45.530707 -73.61338166666667 5 12 0.78
22:21:40 45.530707 -73.61338183333334 5 12 0.78
22:21:41 45.530707 -73.61338166666667 5 12 0.78
22:21:42 45.530707166666666 -73.61338183333334 5 12 0.78
22:21:43 45.530707166666666 -73.61338183333334 5 12 0.78
22:21:44 45.530707 -73.61338183333334 5 12 0.78
22:21:45 45.530707166666666 -73.613382 5 12 0.78
22:21:46 45.53070733333333 -73.613382 5 12 0.78
22:21:47 45.53070733333333 -73.613382 5 12 0.78
22:21:48 45.530707166666666 -73.613382 5 12 0.78
22:21:49 45.530707 -73.613382 5 12 0.78
22:21:50 45.530707 -73.61338183333334 5 12 0.78
22:21:51 45.530707 -73.613382 5 12 0.78
22:21:52 45.530707166666666 -73.613382 5 12 0.78
22:21:53 45.530707 -73.613382 5 12 0.78
22:21:54 45.530707 -73.613382 5 12 0.78
